decision,id,title,age,ageBand,plan,coverFile,coverExt,flags,rationale
REPLACE,cur-lp-infant-family-connections-infant-0-12-months-the-people-who-love-me,"The People Who Love Me","Infant 0-12 Months",infant,Pro,people-who-love-me.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-infant-family-connections-infant-0-12-months-my-home-and-my-family,"My Home & My Family","Infant 0-12 Months",infant,Pro,my-home-my-family.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-infant-family-connections-infant-0-12-months-caring-hearts,"Caring Hearts","Infant 0-12 Months",infant,Pro,caring-hearts.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-infant-family-connections-infant-0-12-months-we-belong-together,"We Belong Together","Infant 0-12 Months",infant,Pro,we-belong-together.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-toddler-family-connections-toddler-caring-hearts,"Caring Hearts","Toddler",toddler,Pro,caring-hearts.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-preschool-family-connections-preschool-my-home-and-my-family,"My Home & My Family","Preschool",preschool,Pro,my-home-my-family.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-preschool-family-connections-preschool-caring-hearts,"Caring Hearts","Preschool",preschool,Pro,caring-hearts.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-preschool-family-connections-preschool-we-belong-together,"We Belong Together","Preschool",preschool,Pro,we-belong-together.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-19fb3322814d045f881,"Rainforest Adventure","Toddler",toddler,Pro,rainforest-adventure.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-19fb346d58153d2c3c0,"Hibernation and Winter Sleep","Toddler",toddler,Pro,hibernation-winter-sleep.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-19fb34ba94f759d2c5b,"Christmas Celebration","Preschool",preschool,Pro,christmas-celebration.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-19fb359f28e308b9e53,"My Family and Familiar Faces","Infant 0–6 Months",infant,Pro,my-family-familiar-faces.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-19fb35c39f471ef767d,"Family Faces and Loving People","Infant 6–12 Months",infant,Pro,family-faces-loving-people.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-19fb3677fbfe91a68f1,"Preschool Classroom Explorers","Preschool",preschool,Pro,preschool-classroom-explorers.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-19fb3681a778d44b04f,"Friendship Problem Solvers","Preschool",preschool,Pro,friendship-problem-solvers.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-19fb387b1f5ad5653ec,"Family Songs and Loving Rhythms","Infant 0–6 Months",infant,Pro,family-songs-loving-rhythms.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-19fb387f75cfd1f1745,"Hello Fall, Little One","Infant 0–6 Months",infant,Pro,hello-fall-little-one.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-19fb36844752f3715bd,"Grandfriends, Photos and Little Keepsakes","Infant 6–12 Months",infant,Pro,grandfriends-photos-keepsakes.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-19fb376f4eb2e18b4c9,"Grandfriends and Loving Faces","Infant 0–6 Months",infant,Pro,grandfriends-loving-faces.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
KEEP,cur-lp-19fb388c44a2e7430c4,"Apple Discovery for Mobile Babies","Infant 6–12 Months",infant,Pro,apple-orchard-adventure.jpg,jpg,,"Orchard path, baskets, ladder; age-neutral (no people); theme clear"
REPLACE,cur-lp-19fb387d847b502ae2e,"Music, Movement and Family Traditions","Infant 6–12 Months",infant,Pro,music-movement.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-19fb38792893375328a,"Little Helpers on the Move","Infant 6–12 Months",infant,Pro,community-helpers.jpg,jpg,age_mismatch|shared_asset_wrong_age,"Preschool community-helpers street artwork reused on infant helper/vehicle lessons — age/theme mismatch for infants"
REPLACE,cur-lp-19fb38773df610d367a,"Helpful Faces and Gentle Work","Infant 0–6 Months",infant,Pro,community-helpers.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REVIEW,cur-lp-19fb3849d087888afe5,"Fall Colors, Leaves and Movement","Infant 6–12 Months",infant,Pro,seasons-year.jpg,jpg,theme_stretch,"Artwork shows all four seasons; lesson is Fall-specific (colors/leaves/movement). Asset quality is good — decide whether theme stretch is acceptable or needs fall-only orchard/leaves cover"
KEEP,cur-lp-19fb3839b4851b9b76b,"Apple Colors for Tiny Eyes","Infant 0–6 Months",infant,Pro,amazing-apples.jpg,jpg,,"Apple investigation still life (basket, halves, magnifying glass); no people; theme clear"
KEEP,cur-lp-19fb367efa47d920b80,"Names, Letters and Learning","Preschool",preschool,Pro,kindergarten-readiness.jpg,jpg,,"School readiness desk scene; illustrated"
KEEP,cur-lp-toddler-my-feelings-at-school,"My Feelings at School","Toddler",toddler,Pro,my-feelings-at-school.jpg,jpg,,"SEL classroom; polished cartoon; diversity"
REVIEW,cur-lp-toddler-classroom-helpers,"Classroom Helpers","Toddler",toddler,Pro,classroom-helpers.jpg,jpg,needs_owner_review,"Polished helpers classroom; children read ~preschool (3–5), stretch for toddler"
REVIEW,cur-lp-toddler-making-new-friends,"Making New Friends","Toddler",toddler,Pro,making-new-friends.jpg,jpg,needs_owner_review,"Strong friendship classroom scene; prior pass noted possible hand artifacts — confirm before KEEP"
KEEP,cur-lp-toddler-welcome-to-my-classroom,"Welcome to My Classroom","Toddler",toddler,Pro,welcome-to-my-classroom.jpg,jpg,,"Classroom welcome; polished cartoon diversity"
REPLACE,cur-lp-19fb35df5f889da9eb9,"Crawling, Reaching and Discovering","Infant 6–12 Months",infant,Pro,reaching-grasping.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-19fb35d1cfedca7c83b,"Sounds, Signs and Songs","Infant 6–12 Months",infant,Pro,music.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-19fb35bed3bc020c16a,"Welcome to Our Infant Room","Infant 6–12 Months",infant,Pro,all-about-me.jpg,jpg,age_mismatch|shared_asset_wrong_age,"Preschool classroom “All About Me” artwork reused on infant welcome lesson — age/setting mismatch"
REPLACE,cur-lp-19fb35b217473a645d5,"Little Movers in My Classroom","Infant 0–6 Months",infant,Pro,music-movement.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-19fb35ac80b02a50635,"Sounds, Songs and Communication","Infant 0–6 Months",infant,Pro,music.svg,svg,svg_clipart_style|inconsistent_with_jpg_library,"Current cover is a ~1KB flat geometric SVG (clip-art/placeholder style). Does not match polished picture-book cartoon standard used by JPG library covers."
REPLACE,cur-lp-19fb35928244ffc2f1f,"Welcome, Baby!","Infant 0–6 Months",infant,Pro,all-about-me.jpg,jpg,age_mismatch|shared_asset_wrong_age,"Preschool classroom “All About Me” artwork reused on infant welcome lesson — age/setting mismatch"
REPLACE,cur-lp-preschool-construction-engineers,"Construction Engineers","Preschool",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-ice-cream-shop-entrepreneurs,"Ice Cream Shop Entrepreneurs","Preschool",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-water-park-engineers,"Water Park Engineers","Preschool",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-zoo-veterinarians,"Zoo Veterinarians","Preschool",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-infant-summer-colors,"Summer Colors","Infant 0–12 Months",infant,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-infant-water-play-wonders,"Water Play Wonders","Infant 0–12 Months",infant,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-new-years-goal-setters-big-dreams,"New Year's Goal Setters & Big Dreams","Preschool",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-fourth-of-july-stars-stripes-community-heroes,"Fourth of July Stars, Stripes & Community Heroes","Preschool",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-easter-eggs-chicks-spring-science,"Easter Eggs, Chicks & Spring Science","Preschool",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-toddler-new-years-little-celebrations,"New Year's Little Celebrations","Toddler",toddler,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-toddler-fourth-of-july-stars-stripes,"Fourth of July Stars & Stripes","Toddler",toddler,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-toddler-easter-eggstravaganza,"Easter Eggstravaganza","Toddler",toddler,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-infant-new-years-celebration,"New Year's Celebration","Infant",infant,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-infant-fourth-of-july-celebration,"Fourth of July Celebration","Infant",infant,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-infant-easter-exploration,"Easter Exploration","Infant",infant,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-infant-peek-a-boo-fun,"Peek-A-Boo Fun","Infant",infant,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-infant-mirror-me,"Mirror Me","Infant",infant,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-infant-reaching-grasping-adventures,"Reaching & Grasping Adventures","Infant 0–6 Months",infant,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-infant-peek-a-boo-play,"Peek-A-Boo & Play","Infant",infant,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-infant-music-and-movement-6-12-months,"Music and Movement (Infant 6-12 Months)","Infant 6–12 Months",infant,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-infant-crawling-adventures,"Crawling Adventures","Infant 6–12 Months",infant,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-infant-nursery-rhymes-lullabies,"Nursery Rhymes & Lullabies","Infant",infant,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-infant-music-and-movement-0-6-months,"Music and Movement (Infant 0-6 Months)","Infant 0–6 Months",infant,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-infant-tummy-time-adventures,"Tummy Time Adventures","Infant 0–6 Months",infant,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-toddler-fairy-tale-adventures,"Fairy Tale Adventures","Toddler",toddler,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-toddler-dinosaur-discovery,"Dinosaur Discovery","Toddler",toddler,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-toddler-community-helpers,"Community Helpers","Toddler",toddler,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-toddler-all-about-me,"All About Me","Toddler",toddler,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-toddler-music-movement,"Music & Movement","Toddler",toddler,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-toddler-johnny-appleseed-apple-fun,"Johnny Appleseed & Apple Fun","Toddler",toddler,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-toddler-apples-in-the-kitchen,"Apples in the Kitchen","Toddler",toddler,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-toddler-apple-orchard-adventure,"Apple Orchard Adventure","Toddler",toddler,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-toddler-amazing-apples,"Amazing Apples","Toddler",toddler,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-toddler-pirate-adventure,"Pirate Adventure","Toddler",toddler,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-toddler-superhero-training-camp,"Superhero Training Camp","Toddler",toddler,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-toddler-pet-vet-clinic,"Pet Vet Clinic","Toddler",toddler,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-toddler-camping-under-the-stars,"Camping Under the Stars","Toddler",toddler,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-toddler-zoo-adventures,"Zoo Adventures","Toddler",toddler,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-zoo-adventure,"Zoo Adventure","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-pet-pals,"Pet Pals","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-gardening-plant-life,"Gardening & Plant Life","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-archaeology-adventure,"Archaeology Adventure","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-inventors-workshop,"Inventors Workshop","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-amazing-insects,"Amazing Insects","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-little-scientists,"Little Scientists","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-camping-adventure,"Camping Adventure","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-construction-zone,"Construction Zone","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-animal-habitats,"Animal Habitats","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-kindergarten-readiness,"Kindergarten Readiness","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-seasons-of-the-year,"Seasons of the Year","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-ocean-explorers,"Ocean Explorers","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-around-the-world,"Around the World","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-healthy-habits,"Healthy Habits","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-transportation-adventures,"Transportation Adventures","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-stem-explorers,"STEM Explorers","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-space-adventure,"Space Adventure","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-dinosaur-discovery,"Dinosaur Discovery","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
REPLACE,cur-lp-preschool-fairy-tale-adventures,"Fairy Tale Adventures","Preschool 3-5 Years",preschool,Pro,,,missing_cover,"No cover attached — needs new picture-book cartoon cover matching lesson theme and age"
